id,amount_received,purpose,purpose_amount
6,10000,EDUCATION,155481748
15,54000000,TECHNOLOGY,120000000
11,55000000,CHILDREN,55000000
14,1000000,DISASTER RELIEF,11000000
42,10000000,RESEARCH,18647000
1,5000000,COVID-19,5000000
34,2355000,COMMUNITY SUPPORT,3647000
9,1000000,CHARITY,1000000
38,292000,WELLNESS,342000
36,208676,HOUSING,208676
3,100000,FOOD,150000
40,50000,WELLNESS,
0,5000000,EDUCATION,
2,100000,TECHNOLOGY,
4,-50000,EDUCATION,
5,2000000,TECHNOLOGY,
7,1000000,COMMUNITY SUPPORT,
8,4000000,RESEARCH,
10,945000,EDUCATION,
12,5000000,EDUCATION,
13,1000000,FOOD,
16,4946056,EDUCATION,
17,1279503,EDUCATION,
18,1245513,EDUCATION,
19,941519,EDUCATION,
20,378403,EDUCATION,
21,253366,EDUCATION,
22,232040,EDUCATION,
23,213393,EDUCATION,
24,179756,EDUCATION,
25,123453,EDUCATION,
26,55584,EDUCATION,
27,35669,EDUCATION,
28,46676,EDUCATION,
29,40338,EDUCATION,
30,2182553,EDUCATION,
31,28030,EDUCATION,
32,10250,EDUCATION,
33,22302,EDUCATION,
35,1339325,COMMUNITY SUPPORT,
37,1000000,DISASTER RELIEF,
39,1000000,TECHNOLOGY,
41,24300,EDUCATION,
43,2000000,RESEARCH,
44,1500000,RESEARCH,
45,1500000,RESEARCH,
