timing,musk_cumulative,zuck_cumulative
,0,0
1,0,1050659
2,0,1550659
3,5000000,1550659
3,5000000,1630659
4,5000000,2297090
5,5000000,3197090
6,5000000,3222090
6,10000000,3222090
7,10000000,3322090
8,10000000,3422090
9,10100000,3422090
9,10100000,3572090
10,10100000,3722090
11,10100000,3847090
12,10200000,3847090
12,10200000,4047090
13,10200000,4062090
14,10200000,4187090
15,10150000,4187090
15,10150000,4201566
16,10150000,4451566
17,10150000,5451566
18,10150000,6451566
18,12150000,6451566
19,12150000,6651566
20,12150000,6751566
21,12150000,6926566
21,12160000,6926566
22,12160000,7026566
23,12160000,7276566
24,13160000,7276566
24,13160000,29520496
25,13160000,29770496
26,13160000,29810496
27,17160000,29810496
27,17160000,29885496
28,17160000,30385496
29,17160000,30435495
30,18160000,30435495
30,18160000,30610495
31,18160000,31160495
32,18160000,31485495
33,18160000,31735495
33,19105000,31735495
34,19105000,32485495
35,19105000,32585495
36,74105000,32585495
36,74105000,32685495
37,74105000,32785495
38,74105000,37285495
39,74105000,41785495
39,79105000,41785495
40,79105000,41815495
41,79105000,41915495
42,79105000,41935495
42,80105000,41935495
43,80105000,42085495
44,80105000,42114462
45,81105000,42114462
45,81105000,42189462
46,81105000,42289462
47,81105000,42389462
48,135105000,42389462
48,135105000,42489462
49,135105000,42589462
50,135105000,42654462
51,135105000,53788028
51,140051056,53788028
52,140051056,62674407
53,140051056,67364407
54,140051056,68641451
54,141330559,68641451
55,141330559,69141451
56,141330559,72641451
57,141330559,73641451
57,142576072,73641451
58,142576072,74141451
59,142576072,75141451
60,142576072,76141451
60,143517591,76141451
61,143517591,76807882
62,143517591,77707882
63,143895994,77707882
63,143895994,78007882
64,143895994,78107882
65,143895994,78486229
66,143895994,79286814
66,144149360,79286814
67,144149360,79888863
68,144149360,80638863
69,144149360,81972196
69,144381400,81972196
70,144381400,82972196
71,144381400,83972196
72,144594793,83972196
72,144594793,84102821
73,144594793,85102821
74,144594793,85602821
75,144594793,86602821
75,144774549,86602821
76,144774549,90602821
77,144774549,93102821
78,144898002,93102821
78,144898002,93341821
79,144898002,94394290
80,144898002,95394290
81,144953586,95394290
81,144953586,95594278
82,144953586,96194278
83,144953586,97194278
84,144953586,97944278
84,144989255,97944278
85,144989255,98744278
86,144989255,99744278
87,144989255,99944278
87,145035931,99944278
88,145035931,105294278
89,145035931,105794278
90,145035931,106544278
90,145076269,106544278
91,145076269,107294278
92,145076269,108044278
93,147258822,108044278
93,147258822,109044278
94,147258822,109387477
95,147258822,109887477
96,147258822,119387477
96,147286852,119387477
97,147286852,134387477
98,147286852,135391477
99,147297102,135391477
99,147297102,135441477
100,147297102,136941477
101,147297102,137341477
102,147297102,137541477
102,147319404,137541477
103,147319404,137666477
104,147319404,137941477
105,147319404,137966477
105,149674404,137966477
106,149674404,138113477
107,149674404,138493952
108,151013729,138493952
108,151013729,139118952
109,151013729,139368952
110,151013729,203175085
111,151222405,203175085
111,151222405,208075085
112,151222405,208112585
113,151222405,208202585
114,151222405,208380710
114,152222405,208380710
115,152222405,208830710
116,152222405,208930710
117,152222405,209080710
117,152514405,209080710
118,152514405,209440710
119,152514405,209940710
120,153514405,209940710
120,153514405,210240710
121,153514405,211240710
122,153514405,211390710
123,153564405,211390710
123,153564405,211640710
124,153564405,220083417
125,153564405,228611579
126,153564405,232711579
126,153588705,232711579
129,163588705,232711579
132,165588705,232711579
135,167088705,232711579
138,168588705,232711579
