amount_received,purpose,zuck_amount
100000,JUSTICE,34284101
1000000,HOUSING,28103476
250000,HEALTH,25589000
100000,ADVOCACY,24309000
550000,EDUCATION,25239000
1000000,COMMUNITY SUPPORT,23659000
600000,MINORITY,22659000
4900000,TECHNOLOGY,20650000
15000000,ENVIRONMENT,15750000
750000,COVID-19,1075000
125000,IMMIGRATION REFORM,3053476
200000,CHILDREN,1204000
1004000,RESEARCH,1084000
80000,FOOD,1000000
30000,CHARITY,930000
900000,ADVOCACY,
100000,ADVOCACY,
100000,ADVOCACY,
14476,ADVOCACY,
500000,ADVOCACY,
900000,ADVOCACY,
130625,ADVOCACY,
5350000,ADVOCACY,
500000,ADVOCACY,
100000,ADVOCACY,
100000,CHARITY,
4000000,CHILDREN,
40000,COMMUNITY SUPPORT,
4500000,COMMUNITY SUPPORT,
4500000,COMMUNITY SUPPORT,
75000,COMMUNITY SUPPORT,
100000,COMMUNITY SUPPORT,
1000000,COMMUNITY SUPPORT,
239000,COMMUNITY SUPPORT,
750000,COMMUNITY SUPPORT,
800000,COVID-19,
1000000,COVID-19,
500000,EDUCATION,
750000,EDUCATION,
9500000,EDUCATION,
1333333,EDUCATION,
1000000,EDUCATION,
1000000,EDUCATION,
1050659,EDUCATION,
500000,EDUCATION,
666431,EDUCATION,
11133566,EDUCATION,
8886379,EDUCATION,
4690000,EDUCATION,
666431,ENVIRONMENT,
378347,HEALTH,
800585,HEALTH,
602049,HEALTH,
343199,HEALTH,
150000,HEALTH,
8442707,HEALTH,
8528162,HEALTH,
4100000,HEALTH,
25000,HEALTH,
200000,HEALTH,
15000,HEALTH,
100000,HEALTH,
49999,HEALTH,
325000,HEALTH,
750000,HOUSING,
100000,HOUSING,
100000,HOUSING,
20000,HOUSING,
65000,HOUSING,
50000,HOUSING,
400000,HOUSING,
200000,HOUSING,
275000,HOUSING,
25000,HOUSING,
450000,HOUSING,
500000,HOUSING,
300000,HOUSING,
250000,HOUSING,
150000,HOUSING,
150000,HOUSING,
125000,HOUSING,
200000,HOUSING,
100000,HOUSING,
175000,IMMIGRATION REFORM,
22243930,IMMIGRATION REFORM,
250000,IMMIGRATION REFORM,
175000,IMMIGRATION REFORM,
63806133,IMMIGRATION REFORM,
250000,IMMIGRATION REFORM,
1000000,IMMIGRATION REFORM,
1000000,IMMIGRATION REFORM,
75000,IMMIGRATION REFORM,
250000,JUSTICE,
100000,JUSTICE,
28967,JUSTICE,
100000,JUSTICE,
3500000,JUSTICE,
500000,JUSTICE,
750000,JUSTICE,
750000,JUSTICE,
1500000,JUSTICE,
125000,JUSTICE,
147000,JUSTICE,
380475,JUSTICE,
625000,JUSTICE,
250000,JUSTICE,
37500,JUSTICE,
90000,JUSTICE,
178125,JUSTICE,
100000,JUSTICE,
150000,JUSTICE,
360000,JUSTICE,
1000000,JUSTICE,
500000,JUSTICE,
1000000,JUSTICE,
1000000,JUSTICE,
1000000,MINORITY,
300000,MINORITY,
500000,MINORITY,
1000000,MINORITY,
1000000,MINORITY,
1052469,MINORITY,
199988,MINORITY,
150000,RESEARCH,
1277044,TECHNOLOGY,
2500000,TECHNOLOGY,
